target_id,source_table,source_location,portfolio_set,model,statistic,published_value,published_decimals,uncertainty_type,uncertainty_value,tolerance_rule,notes
TBL3_EP_chi2,Table 3,article_pdf:p.938:Table 3,earnings_to_price,capm,chi_square,23.12,2,asymptotic_p_value,0.006,published_rounding,article row label EP; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_EP_chi2_empp,Table 3,article_pdf:p.938:Table 3,earnings_to_price,capm,chi_square,23.12,2,empirical_bootstrap_p_value,0.049,published_rounding,article row label EP; same chi-square statistic as TBL3_EP_chi2; bootstrap empirical p-value printed in square brackets
TBL3_EP_R2OLS,Table 3,article_pdf:p.938:Table 3,earnings_to_price,capm,r2_ols,-0.74,2,empirical_bootstrap_p_value,0.344,published_rounding,article row label EP; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL3_REV_lambda_M,Table 3,article_pdf:p.938:Table 3,long_term_reversal,capm,lambda_market,0.71,2,shanken_t_statistic,3.37,published_rounding,article row label REV; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_REV_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,long_term_reversal,capm,lambda_market,0.71,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label REV; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
TBL3_REV_chi2,Table 3,article_pdf:p.938:Table 3,long_term_reversal,capm,chi_square,12.74,2,asymptotic_p_value,0.175,published_rounding,article row label REV; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_REV_chi2_empp,Table 3,article_pdf:p.938:Table 3,long_term_reversal,capm,chi_square,12.74,2,empirical_bootstrap_p_value,0.093,published_rounding,article row label REV; same chi-square statistic as TBL3_REV_chi2; bootstrap empirical p-value printed in square brackets
TBL3_REV_R2OLS,Table 3,article_pdf:p.938:Table 3,long_term_reversal,capm,r2_ols,-0.18,2,empirical_bootstrap_p_value,0.156,published_rounding,article row label REV; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL3_IA_lambda_M,Table 3,article_pdf:p.938:Table 3,investment_to_assets,capm,lambda_market,0.60,2,shanken_t_statistic,2.92,published_rounding,article row label IA; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_IA_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,investment_to_assets,capm,lambda_market,0.60,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label IA; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
TBL3_IA_chi2,Table 3,article_pdf:p.938:Table 3,investment_to_assets,capm,chi_square,21.56,2,asymptotic_p_value,0.010,published_rounding,article row label IA; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_IA_chi2_empp,Table 3,article_pdf:p.938:Table 3,investment_to_assets,capm,chi_square,21.56,2,empirical_bootstrap_p_value,0.069,published_rounding,article row label IA; same chi-square statistic as TBL3_IA_chi2; bootstrap empirical p-value printed in square brackets
TBL3_IA_R2OLS,Table 3,article_pdf:p.938:Table 3,investment_to_assets,capm,r2_ols,-1.18,2,empirical_bootstrap_p_value,0.334,published_rounding,article row label IA; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL3_PIA_lambda_M,Table 3,article_pdf:p.938:Table 3,ppe_investment,capm,lambda_market,0.57,2,shanken_t_statistic,2.78,published_rounding,article row label PIA; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_PIA_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,ppe_investment,capm,lambda_market,0.57,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label PIA; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
TBL3_PIA_chi2,Table 3,article_pdf:p.938:Table 3,ppe_investment,capm,chi_square,26.36,2,asymptotic_p_value,0.002,published_rounding,article row label PIA; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_PIA_chi2_empp,Table 3,article_pdf:p.938:Table 3,ppe_investment,capm,chi_square,26.36,2,empirical_bootstrap_p_value,0.056,published_rounding,article row label PIA; same chi-square statistic as TBL3_PIA_chi2; bootstrap empirical p-value printed in square brackets
TBL3_PIA_R2OLS,Table 3,article_pdf:p.938:Table 3,ppe_investment,capm,r2_ols,-0.43,2,empirical_bootstrap_p_value,0.220,published_rounding,article row label PIA; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL3_IVG_lambda_M,Table 3,article_pdf:p.938:Table 3,inventory_growth,capm,lambda_market,0.60,2,shanken_t_statistic,2.91,published_rounding,article row label IVG; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_IVG_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,inventory_growth,capm,lambda_market,0.60,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label IVG; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
TBL3_IVG_chi2,Table 3,article_pdf:p.938:Table 3,inventory_growth,capm,chi_square,18.10,2,asymptotic_p_value,0.034,published_rounding,article row label IVG; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_IVG_chi2_empp,Table 3,article_pdf:p.938:Table 3,inventory_growth,capm,chi_square,18.10,2,empirical_bootstrap_p_value,0.073,published_rounding,article row label IVG; same chi-square statistic as TBL3_IVG_chi2; bootstrap empirical p-value printed in square brackets
TBL3_IVG_R2OLS,Table 3,article_pdf:p.938:Table 3,inventory_growth,capm,r2_ols,-0.55,2,empirical_bootstrap_p_value,0.204,published_rounding,article row label IVG; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL3_All_lambda_M,Table 3,article_pdf:p.938:Table 3,all_seven_families_joint,capm,lambda_market,0.65,2,shanken_t_statistic,3.12,published_rounding,article row label All; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL3_All_lambda_M_empp,Table 3,article_pdf:p.938:Table 3,all_seven_families_joint,capm,lambda_market,0.65,2,empirical_bootstrap_p_value,0.001,published_rounding,article row label All; bootstrap empirical p-value for lambda_market printed in square brackets; no significance stars are printed on empirical p-values
TBL3_All_chi2,Table 3,article_pdf:p.938:Table 3,all_seven_families_joint,capm,chi_square,105.58,2,asymptotic_p_value,0.003,published_rounding,article row label All; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL3_All_chi2_empp,Table 3,article_pdf:p.938:Table 3,all_seven_families_joint,capm,chi_square,105.58,2,empirical_bootstrap_p_value,0.092,published_rounding,article row label All; same chi-square statistic as TBL3_All_chi2; bootstrap empirical p-value printed in square brackets
TBL3_All_R2OLS,Table 3,article_pdf:p.938:Table 3,all_seven_families_joint,capm,r2_ols,-0.59,2,empirical_bootstrap_p_value,0.218,published_rounding,article row label All; cross-sectional OLS R2 printed as a negative decimal fraction (source uses Unicode minus U+2212); empirical p-value in square brackets
TBL4_BM_lambda_M,Table 4,article_pdf:p.939:Table 4,book_to_market,market_plus_fedfunds_innovation,lambda_market,0.61,2,shanken_t_statistic,2.89,published_rounding,article row label BM; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_BM_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,book_to_market,market_plus_fedfunds_innovation,lambda_market,0.61,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label BM; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_BM_lambda_FFR,Table 4,article_pdf:p.939:Table 4,book_to_market,market_plus_fedfunds_innovation,lambda_rate,-0.67,2,shanken_t_statistic,-2.25,published_rounding,article row label BM; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked **; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_BM_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,book_to_market,market_plus_fedfunds_innovation,lambda_rate,-0.67,2,empirical_bootstrap_p_value,0.006,published_rounding,article row label BM; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_BM_chi2,Table 4,article_pdf:p.939:Table 4,book_to_market,market_plus_fedfunds_innovation,chi_square,5.25,2,asymptotic_p_value,0.731,published_rounding,article row label BM; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_BM_chi2_empp,Table 4,article_pdf:p.939:Table 4,book_to_market,market_plus_fedfunds_innovation,chi_square,5.25,2,empirical_bootstrap_p_value,0.190,published_rounding,article row label BM; same chi-square statistic as TBL4_BM_chi2; bootstrap empirical p-value printed in square brackets
TBL4_BM_R2OLS,Table 4,article_pdf:p.939:Table 4,book_to_market,market_plus_fedfunds_innovation,r2_ols,0.62,2,empirical_bootstrap_p_value,0.043,published_rounding,article row label BM; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBL4_DUR_lambda_M,Table 4,article_pdf:p.939:Table 4,equity_duration,market_plus_fedfunds_innovation,lambda_market,0.61,2,shanken_t_statistic,2.89,published_rounding,article row label DUR; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_DUR_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,equity_duration,market_plus_fedfunds_innovation,lambda_market,0.61,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label DUR; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_DUR_lambda_FFR,Table 4,article_pdf:p.939:Table 4,equity_duration,market_plus_fedfunds_innovation,lambda_rate,-0.78,2,shanken_t_statistic,-2.49,published_rounding,article row label DUR; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked **; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_DUR_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,equity_duration,market_plus_fedfunds_innovation,lambda_rate,-0.78,2,empirical_bootstrap_p_value,0.003,published_rounding,article row label DUR; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_DUR_chi2,Table 4,article_pdf:p.939:Table 4,equity_duration,market_plus_fedfunds_innovation,chi_square,4.48,2,asymptotic_p_value,0.811,published_rounding,article row label DUR; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_DUR_chi2_empp,Table 4,article_pdf:p.939:Table 4,equity_duration,market_plus_fedfunds_innovation,chi_square,4.48,2,empirical_bootstrap_p_value,0.343,published_rounding,article row label DUR; same chi-square statistic as TBL4_DUR_chi2; bootstrap empirical p-value printed in square brackets
TBL4_DUR_R2OLS,Table 4,article_pdf:p.939:Table 4,equity_duration,market_plus_fedfunds_innovation,r2_ols,0.70,2,empirical_bootstrap_p_value,0.013,published_rounding,article row label DUR; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBL4_EP_lambda_M,Table 4,article_pdf:p.939:Table 4,earnings_to_price,market_plus_fedfunds_innovation,lambda_market,0.59,2,shanken_t_statistic,2.73,published_rounding,article row label EP; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_EP_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,earnings_to_price,market_plus_fedfunds_innovation,lambda_market,0.59,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label EP; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_EP_lambda_FFR,Table 4,article_pdf:p.939:Table 4,earnings_to_price,market_plus_fedfunds_innovation,lambda_rate,-0.80,2,shanken_t_statistic,-2.19,published_rounding,article row label EP; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked **; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_EP_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,earnings_to_price,market_plus_fedfunds_innovation,lambda_rate,-0.80,2,empirical_bootstrap_p_value,0.011,published_rounding,article row label EP; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_EP_chi2,Table 4,article_pdf:p.939:Table 4,earnings_to_price,market_plus_fedfunds_innovation,chi_square,4.87,2,asymptotic_p_value,0.771,published_rounding,article row label EP; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_EP_chi2_empp,Table 4,article_pdf:p.939:Table 4,earnings_to_price,market_plus_fedfunds_innovation,chi_square,4.87,2,empirical_bootstrap_p_value,0.324,published_rounding,article row label EP; same chi-square statistic as TBL4_EP_chi2; bootstrap empirical p-value printed in square brackets
TBL4_EP_R2OLS,Table 4,article_pdf:p.939:Table 4,earnings_to_price,market_plus_fedfunds_innovation,r2_ols,0.78,2,empirical_bootstrap_p_value,0.004,published_rounding,article row label EP; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBL4_REV_lambda_M,Table 4,article_pdf:p.939:Table 4,long_term_reversal,market_plus_fedfunds_innovation,lambda_market,0.64,2,shanken_t_statistic,3.01,published_rounding,article row label REV; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_REV_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,long_term_reversal,market_plus_fedfunds_innovation,lambda_market,0.64,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label REV; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_REV_lambda_FFR,Table 4,article_pdf:p.939:Table 4,long_term_reversal,market_plus_fedfunds_innovation,lambda_rate,-0.58,2,shanken_t_statistic,-1.94,published_rounding,article row label REV; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked *; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_REV_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,long_term_reversal,market_plus_fedfunds_innovation,lambda_rate,-0.58,2,empirical_bootstrap_p_value,0.019,published_rounding,article row label REV; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_REV_chi2,Table 4,article_pdf:p.939:Table 4,long_term_reversal,market_plus_fedfunds_innovation,chi_square,5.29,2,asymptotic_p_value,0.726,published_rounding,article row label REV; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_REV_chi2_empp,Table 4,article_pdf:p.939:Table 4,long_term_reversal,market_plus_fedfunds_innovation,chi_square,5.29,2,empirical_bootstrap_p_value,0.208,published_rounding,article row label REV; same chi-square statistic as TBL4_REV_chi2; bootstrap empirical p-value printed in square brackets
TBL4_REV_R2OLS,Table 4,article_pdf:p.939:Table 4,long_term_reversal,market_plus_fedfunds_innovation,r2_ols,0.52,2,empirical_bootstrap_p_value,0.043,published_rounding,article row label REV; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBL4_IA_lambda_M,Table 4,article_pdf:p.939:Table 4,investment_to_assets,market_plus_fedfunds_innovation,lambda_market,0.57,2,shanken_t_statistic,2.69,published_rounding,article row label IA; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_IA_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,investment_to_assets,market_plus_fedfunds_innovation,lambda_market,0.57,2,empirical_bootstrap_p_value,0.001,published_rounding,article row label IA; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_IA_lambda_FFR,Table 4,article_pdf:p.939:Table 4,investment_to_assets,market_plus_fedfunds_innovation,lambda_rate,-0.82,2,shanken_t_statistic,-2.18,published_rounding,article row label IA; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked **; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_IA_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,investment_to_assets,market_plus_fedfunds_innovation,lambda_rate,-0.82,2,empirical_bootstrap_p_value,0.009,published_rounding,article row label IA; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_IA_chi2,Table 4,article_pdf:p.939:Table 4,investment_to_assets,market_plus_fedfunds_innovation,chi_square,3.28,2,asymptotic_p_value,0.916,published_rounding,article row label IA; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_IA_chi2_empp,Table 4,article_pdf:p.939:Table 4,investment_to_assets,market_plus_fedfunds_innovation,chi_square,3.28,2,empirical_bootstrap_p_value,0.587,published_rounding,article row label IA; same chi-square statistic as TBL4_IA_chi2; bootstrap empirical p-value printed in square brackets
TBL4_IA_R2OLS,Table 4,article_pdf:p.939:Table 4,investment_to_assets,market_plus_fedfunds_innovation,r2_ols,0.65,2,empirical_bootstrap_p_value,0.005,published_rounding,article row label IA; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBL4_PIA_lambda_M,Table 4,article_pdf:p.939:Table 4,ppe_investment,market_plus_fedfunds_innovation,lambda_market,0.56,2,shanken_t_statistic,2.68,published_rounding,article row label PIA; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_PIA_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,ppe_investment,market_plus_fedfunds_innovation,lambda_market,0.56,2,empirical_bootstrap_p_value,0.001,published_rounding,article row label PIA; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_PIA_lambda_FFR,Table 4,article_pdf:p.939:Table 4,ppe_investment,market_plus_fedfunds_innovation,lambda_rate,-0.80,2,shanken_t_statistic,-2.47,published_rounding,article row label PIA; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked **; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_PIA_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,ppe_investment,market_plus_fedfunds_innovation,lambda_rate,-0.80,2,empirical_bootstrap_p_value,0.003,published_rounding,article row label PIA; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_PIA_chi2,Table 4,article_pdf:p.939:Table 4,ppe_investment,market_plus_fedfunds_innovation,chi_square,4.46,2,asymptotic_p_value,0.814,published_rounding,article row label PIA; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_PIA_chi2_empp,Table 4,article_pdf:p.939:Table 4,ppe_investment,market_plus_fedfunds_innovation,chi_square,4.46,2,empirical_bootstrap_p_value,0.545,published_rounding,article row label PIA; same chi-square statistic as TBL4_PIA_chi2; bootstrap empirical p-value printed in square brackets
TBL4_PIA_R2OLS,Table 4,article_pdf:p.939:Table 4,ppe_investment,market_plus_fedfunds_innovation,r2_ols,0.59,2,empirical_bootstrap_p_value,0.010,published_rounding,article row label PIA; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBL4_IVG_lambda_M,Table 4,article_pdf:p.939:Table 4,inventory_growth,market_plus_fedfunds_innovation,lambda_market,0.61,2,shanken_t_statistic,2.91,published_rounding,article row label IVG; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_IVG_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,inventory_growth,market_plus_fedfunds_innovation,lambda_market,0.61,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label IVG; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_IVG_lambda_FFR,Table 4,article_pdf:p.939:Table 4,inventory_growth,market_plus_fedfunds_innovation,lambda_rate,-0.44,2,shanken_t_statistic,-2.01,published_rounding,article row label IVG; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked **; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_IVG_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,inventory_growth,market_plus_fedfunds_innovation,lambda_rate,-0.44,2,empirical_bootstrap_p_value,0.017,published_rounding,article row label IVG; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_IVG_chi2,Table 4,article_pdf:p.939:Table 4,inventory_growth,market_plus_fedfunds_innovation,chi_square,7.37,2,asymptotic_p_value,0.498,published_rounding,article row label IVG; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_IVG_chi2_empp,Table 4,article_pdf:p.939:Table 4,inventory_growth,market_plus_fedfunds_innovation,chi_square,7.37,2,empirical_bootstrap_p_value,0.216,published_rounding,article row label IVG; same chi-square statistic as TBL4_IVG_chi2; bootstrap empirical p-value printed in square brackets
TBL4_IVG_R2OLS,Table 4,article_pdf:p.939:Table 4,inventory_growth,market_plus_fedfunds_innovation,r2_ols,0.20,2,empirical_bootstrap_p_value,0.065,published_rounding,article row label IVG; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBL4_All_lambda_M,Table 4,article_pdf:p.939:Table 4,all_seven_families_joint,market_plus_fedfunds_innovation,lambda_market,0.60,2,shanken_t_statistic,2.86,published_rounding,article row label All; risk price in %; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_All_lambda_M_empp,Table 4,article_pdf:p.939:Table 4,all_seven_families_joint,market_plus_fedfunds_innovation,lambda_market,0.60,2,empirical_bootstrap_p_value,0.003,published_rounding,article row label All; bootstrap empirical p-value for lambda_market printed in square brackets
TBL4_All_lambda_FFR,Table 4,article_pdf:p.939:Table 4,all_seven_families_joint,market_plus_fedfunds_innovation,lambda_rate,-0.71,2,shanken_t_statistic,-2.85,published_rounding,article row label All; risk price in %; interest rate factor is the innovation in the federal funds rate; t-ratio marked ***; */**/*** = 10%/5%/1% significance of the Shanken t-ratio
TBL4_All_lambda_FFR_empp,Table 4,article_pdf:p.939:Table 4,all_seven_families_joint,market_plus_fedfunds_innovation,lambda_rate,-0.71,2,empirical_bootstrap_p_value,0.002,published_rounding,article row label All; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the federal funds rate
TBL4_All_chi2,Table 4,article_pdf:p.939:Table 4,all_seven_families_joint,market_plus_fedfunds_innovation,chi_square,36.09,2,asymptotic_p_value,0.999,published_rounding,article row label All; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
TBL4_All_chi2_empp,Table 4,article_pdf:p.939:Table 4,all_seven_families_joint,market_plus_fedfunds_innovation,chi_square,36.09,2,empirical_bootstrap_p_value,0.422,published_rounding,article row label All; same chi-square statistic as TBL4_All_chi2; bootstrap empirical p-value printed in square brackets
TBL4_All_R2OLS,Table 4,article_pdf:p.939:Table 4,all_seven_families_joint,market_plus_fedfunds_innovation,r2_ols,0.58,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label All; cross-sectional OLS R2 as a decimal fraction; empirical p-value in square brackets
TBLA1_BM_lambda_M,Table A.1,supplement_zip:appendix_pdf:Table A.1,book_to_market,market_plus_tbill_innovation,lambda_market,0.62,2,shanken_t_statistic,2.94,published_rounding,"article row label BM; risk price in %; Table A.1 marks significance with italic/underlined/bold t-ratios (10%/5%/1%); that formatting is not recoverable from the plain-text extraction, so no significance marker is recorded"
TBLA1_BM_lambda_M_empp,Table A.1,supplement_zip:appendix_pdf:Table A.1,book_to_market,market_plus_tbill_innovation,lambda_market,0.62,2,empirical_bootstrap_p_value,0.000,published_rounding,article row label BM; bootstrap empirical p-value for lambda_market printed in square brackets
TBLA1_BM_lambda_z,Table A.1,supplement_zip:appendix_pdf:Table A.1,book_to_market,market_plus_tbill_innovation,lambda_rate,-0.53,2,shanken_t_statistic,-2.33,published_rounding,"article row label BM; risk price in %; interest rate factor is the innovation in the T-bill rate (column labeled lambda_z); Table A.1 marks significance with italic/underlined/bold t-ratios (10%/5%/1%); that formatting is not recoverable from the plain-text extraction, so no significance marker is recorded"
TBLA1_BM_lambda_z_empp,Table A.1,supplement_zip:appendix_pdf:Table A.1,book_to_market,market_plus_tbill_innovation,lambda_rate,-0.53,2,empirical_bootstrap_p_value,0.004,published_rounding,article row label BM; bootstrap empirical p-value for lambda_rate printed in square brackets; interest rate factor is the innovation in the T-bill rate (column labeled lambda_z)
TBLA1_BM_chi2,Table A.1,supplement_zip:appendix_pdf:Table A.1,book_to_market,market_plus_tbill_innovation,chi_square,4.84,2,asymptotic_p_value,0.775,published_rounding,article row label BM; chi-square test of joint significance of pricing errors; asymptotic p-value printed in parentheses
